id,priorite,score,enseigne,type,segment,marques,commune,zone,adresse,lat,lng,tel,tel2,whatsapp,email,web,taille,formalise,anciennete,fiabilite,sources,motifHorsCible
P052,B,56,Nabilco,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28047,-3.97640,+2252721350909,+2250108747979,,,,,,,Haute,OpenStreetMap node/3957504120 (2026-05-27),
P050,B,56,Ramco,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,Rue du 7 Décembre Marcory,5.28141,-3.97653,+2252721356430,,,,,,,,Haute,OpenStreetMap node/3711226195 (2026-05-27),
P177,B,54,MAPA-CI,Acteur identifié (recensement interne),Distributeur pièces & produits d'entretien,,Treichville,,Treichville avenue 8 rue 24 ; succursale Adjamé face gare Stif,,,,,,,,Grand,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P039,B,49,Export trade of auto parts,Import/export (grossiste),Pièces importées d'origine (grossiste/garages),"Mercedes, BMW, Audi, Land Rover, Porsche (import original)",,,International (fourniture directe),,,,,,,https://www.facebook.com/ads/library/?id=1203887401684802,,,,Moyenne,Facebook Ad Library (2026-05-29),Acteur étranger / broker export
P036,B,49,Z-tech_Auto,Import/export régional,"Pièces d'origine: moteurs, boîtes de vitesse, suspension, crémaillères, kit démarrage","Mercedes, Jaguar, Range Rover, Toyota, BMW, Honda, Changan, Jetour, Tesla, Ferrari, Porsche, Lexus",,,Burkina Faso (livre CI/Mali/Gabon/Congo),,,,,,,https://www.facebook.com/ads/library/?id=962028199790922,,,,Moyenne,Facebook Ad Library (2026-05-29),Acteur étranger / broker export
P040,B,45,Balora Hamidou / Universelle Import Export,Import/export (broker),"Véhicules, pièces détachées, engins, équipements","Chine, Corée, Japon",,,Chine (siège),,,,,,,https://www.facebook.com/ads/library/?id=1458903348782829,,,,Moyenne,Facebook Ad Library (2026-05-29),Acteur étranger / broker export
P047,B,45,BoomStore,Accessoires,"Tapis, marchepieds, protections, déco",Multimarques,,,Abidjan,,,,,,,https://www.facebook.com/ads/library/?id=948080681406949,,,,Moyenne,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P038,B,45,Kul Digital,Signal marché (SaaS),SaaS gestion de stock pour boutiques pièces auto (kuldigital.com),N/A,,,N/A,,,,,,,https://www.facebook.com/ads/library/?id=961660940198548,,,,Moyenne,Facebook Ad Library (2026-05-29),"Signal marché, pas un vendeur"
P037,B,45,Toyota Côte d'Ivoire,Signal marché (OEM officiel),Campagne Pièces d'Origine anti-contrefaçon,Toyota,,,Côte d'Ivoire,,,,,,,https://www.facebook.com/ads/library/?id=1068017456402336,,,,Moyenne,Facebook Ad Library (2026-05-29),
P041,B,45,Xinruida Auto Export,Export véhicules,"SUV, tout-terrain, berlines (véhicules, pas pièces)",Véhicules chinois d'occasion,,,Chine (export),,,,,,,https://www.facebook.com/ads/library/?id=2060855771501238,,,,Moyenne,Facebook Ad Library (2026-05-29),Acteur étranger / broker export
P182,C,44,Établissement 2KDL,Acteur identifié (recensement interne),Magasin toutes marques,,Cocody,,2 Plateaux Agban,,,,,,,,Moyen,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P184,C,39,Abidjan Casse Auto (A.C.A.),Acteur identifié (recensement interne),Casse — pièces d'occasion,,Koumassi,,"Koumassi, lot 1130 îlot 84",,,,,,,,Moyen,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P055,C,39,Etablissement Fakhreddine,Magasin de pièces (relevé terrain OSM),,"BMW, Land Rover, Mercedes-Benz",Marcory,Marcory / Zone 4,,5.28373,-3.97500,,,,,,,,,À vérifier,OpenStreetMap node/4019333215 (2026-05-27),
P179,C,39,Planète Auto,Acteur identifié (recensement interne),Magasin enseigne,,Cocody,,Cocody Riviera 2,,,,,,,,Moyen,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P053,C,39,SKF Le Roulement Ivoirien SA,Magasin de pièces (relevé terrain OSM),,SKF,Marcory,Marcory / Zone 4,,5.29280,-3.98272,,,,,,,,,À vérifier,OpenStreetMap node/3974972972 (2026-05-27),
P113,C,36,AZ Tec,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28026,-3.97617,,,,,,,,,À vérifier,OpenStreetMap node/9101659917 (2026-05-27),
P066,C,36,Cacomiaf,Magasin de pièces (relevé terrain OSM),,,Treichville,Treichville,,5.30110,-4.01107,,,,,,,,,À vérifier,OpenStreetMap node/5552692688 (2026-05-27),
P115,C,36,japko,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28122,-3.97598,,,,,,,,,À vérifier,OpenStreetMap node/13416124401 (2026-05-27),
P064,C,36,M2A,Magasin de pièces (relevé terrain OSM),,,Treichville,Treichville,,5.29651,-4.00006,,,,,,,,,À vérifier,OpenStreetMap node/4481301389 (2026-05-27),
P116,C,36,Parts autority,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.27983,-3.98025,,,,,,,,,À vérifier,OpenStreetMap node/13448504001 (2026-05-27),
P087,C,36,Pièces Auto Poids Lours,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.29811,-3.95769,,,,,,,,,À vérifier,OpenStreetMap node/5965102527 (2026-05-27),
P117,C,36,SAPCO SARL,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28621,-3.97055,,,,,,,,,À vérifier,OpenStreetMap node/13482069601 (2026-05-27),
P118,C,36,STETS Spare parts,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28479,-3.97023,,,,,,,,,À vérifier,OpenStreetMap node/13482328340 (2026-05-27),
P114,C,36,TRADCO,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28042,-3.97713,,,,,,,,,À vérifier,OpenStreetMap node/12628718501 (2026-05-27),
P056,C,36,Wakim,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,,5.28066,-3.97631,,,,,,,,,À vérifier,OpenStreetMap node/4019333308 (2026-05-27),
P071,C,34,Crystal pièce auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36813,-4.01069,,,,,,,,,À vérifier,OpenStreetMap node/5924692776 (2026-05-27),
P070,C,34,Doum pièce auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36818,-4.01060,,,,,,,,,À vérifier,OpenStreetMap node/5924692775 (2026-05-27),
P068,C,34,Ets salam pièce auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36838,-4.00307,,,,,,,,,À vérifier,OpenStreetMap node/5924383999 (2026-05-27),
P072,C,34,Ets vente pèces auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36518,-4.01446,,,,,,,,,À vérifier,OpenStreetMap node/5926609348 (2026-05-27),
P073,C,34,John pièces auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36521,-4.01440,,,,,,,,,À vérifier,OpenStreetMap node/5926609349 (2026-05-27),
P074,C,34,Pièces détachées auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36849,-4.00934,,,,,,,,,À vérifier,OpenStreetMap node/5926611292 (2026-05-27),
P178,C,34,SAM — Service Auto Méca,Acteur identifié (recensement interne),Distributeur pièces VL & PL,,,,Abidjan (s-automeca.com),,,,,,,,Moyen,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P069,C,34,Tresor pièce auto,Magasin de pièces (relevé terrain OSM),,,Adjamé,Adjamé,,5.36850,-4.00458,,,,,,,,,À vérifier,OpenStreetMap node/5924692632 (2026-05-27),
P111,C,31,Afrique ivoire piece auto,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.35025,-3.97607,,,,,,,,,À vérifier,OpenStreetMap node/8905157800 (2026-05-27),
P092,C,31,Bam's Vente de Pièces Détachées,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.38490,-3.98880,,,,,,,,,À vérifier,OpenStreetMap node/8568829017 (2026-05-27),
P093,C,31,Carstore Accessoire Auto,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.39108,-3.98815,,,,,,,,,À vérifier,OpenStreetMap node/8569188880 (2026-05-27),Accessoires / tuning / multimédia
P104,C,31,Ciss Auto Vente de Pièces Détachées,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.39268,-3.99234,,,,,,,,,À vérifier,OpenStreetMap node/8839368732 (2026-05-27),
P110,C,31,Emma Pièces Auto,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.36459,-3.95085,,,,,,,,,À vérifier,OpenStreetMap node/8857717953 (2026-05-27),
P109,C,31,Euro Occasion,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.36546,-3.94777,,,,,,,,,À vérifier,OpenStreetMap node/8857717951 (2026-05-27),
P112,C,31,Kama Pièce Auto,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.39478,-3.98616,,,,,,,,,À vérifier,OpenStreetMap node/8983241280 (2026-05-27),
P102,C,31,Karyn's Group,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.39890,-3.95636,,,,,,,,,À vérifier,OpenStreetMap node/8832849841 (2026-05-27),
P088,C,31,Pièce auto (SIDMATE),Magasin de pièces (relevé terrain OSM),,,Koumassi,Koumassi,,5.30057,-3.94806,,,,,,,,,À vérifier,OpenStreetMap node/5966188285 (2026-05-27),
P108,C,31,Sens and seller services,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.37910,-3.97194,,,,,,,,,À vérifier,OpenStreetMap node/8846760224 (2026-05-27),
P059,C,31,Super Auto,Magasin de pièces (relevé terrain OSM),,,Plateau,Plateau,,5.31005,-4.00625,,,,,,,,,À vérifier,OpenStreetMap node/4021166134 (2026-05-27),
P103,C,31,Sylla Logistique,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.34068,-3.94516,,,,,,,,,À vérifier,OpenStreetMap node/8833620240 (2026-05-27),
P095,C,31,Top Auto,Magasin de pièces (relevé terrain OSM),,,Cocody,Cocody / Angré,,5.38338,-3.98759,,,,,,,,,À vérifier,OpenStreetMap node/8586904777 (2026-05-27),
P100,C,29,4 For Spécialiste en Batterie Auto,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.32892,-4.06894,,,,,,,,,À vérifier,OpenStreetMap node/8815392755 (2026-05-27),
P079,C,29,Annechrie pièces auto,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.35787,-4.10146,,,,,,,,,À vérifier,OpenStreetMap node/5934491415 (2026-05-27),
P101,C,29,Divine Pièces Autos,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.32892,-4.06897,,,,,,,,,À vérifier,OpenStreetMap node/8815392756 (2026-05-27),
P081,C,29,Fass Pieces Auto Magasin,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.36543,-4.09303,,,,,,,,,À vérifier,OpenStreetMap node/5938177984 (2026-05-27),
P077,C,29,HMK,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.36604,-4.08201,,,,,,,,,À vérifier,OpenStreetMap node/5931332761 (2026-05-27),
P099,C,29,Ivoire Pièces Autos,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.34068,-4.06334,,,,,,,,,À vérifier,OpenStreetMap node/8695378318 (2026-05-27),
P080,C,29,Japhnath pièces auto,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.35864,-4.10102,,,,,,,,,À vérifier,OpenStreetMap node/5934491418 (2026-05-27),
P067,C,29,KG Piéce Auto,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.35548,-4.07698,,,,,,,,,À vérifier,OpenStreetMap node/5922759795 (2026-05-27),
P076,C,29,Peter Emmanuel Pieces Auto,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.36665,-4.07471,,,,,,,,,À vérifier,OpenStreetMap node/5931332606 (2026-05-27),
P065,C,29,Rimco,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.37018,-4.08255,,,,,,,,,À vérifier,OpenStreetMap node/5447156062 (2026-05-27),
P051,C,29,Samco Vehicule,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.35586,-4.06732,,,,,,,,,À vérifier,OpenStreetMap node/3950240546 (2026-05-27),
P078,C,29,Succès pièces détachées,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.35829,-4.09691,,,,,,,,,À vérifier,OpenStreetMap node/5934490022 (2026-05-27),
P075,C,29,Techniflex,Magasin de pièces (relevé terrain OSM),,,Yopougon,Yopougon,,5.37387,-4.07767,,,,,,,,,À vérifier,OpenStreetMap node/5929228221 (2026-05-27),
P106,C,27,Aboubacar pièce auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.42475,-3.99020,,,,,,,,,À vérifier,OpenStreetMap node/8841921772 (2026-05-27),
P086,C,27,Albatros Pièce Auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.44168,-4.06896,,,,,,,,,À vérifier,OpenStreetMap node/5964014345 (2026-05-27),
P082,C,27,Bamba Pièce Auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.43244,-4.06600,,,,,,,,,À vérifier,OpenStreetMap node/5960161575 (2026-05-27),
P094,C,27,Confiance Pièces Auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.41363,-4.01580,,,,,,,,,À vérifier,OpenStreetMap node/8584469793 (2026-05-27),
P090,C,27,Dragon Vente de Pièces Détachées,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.42676,-4.02121,,,,,,,,,À vérifier,OpenStreetMap node/5973449431 (2026-05-27),
P083,C,27,ETS Bouger Vente Huile De Moteur,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.43081,-4.04994,,,,,,,,,À vérifier,OpenStreetMap node/5961516512 (2026-05-27),
P089,C,27,ETS Tonga Vente de Pièces Détachées,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.44361,-4.06733,,,,,,,,,À vérifier,OpenStreetMap node/5966476444 (2026-05-27),
P107,C,27,KMPA,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.44221,-4.02289,,,,,,,,,À vérifier,OpenStreetMap node/8842313730 (2026-05-27),
P085,C,27,Magasin Chez Diarra,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.42887,-4.07557,,,,,,,,,À vérifier,OpenStreetMap node/5964014301 (2026-05-27),
P091,C,27,Maputo Pièce Auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.42613,-4.02075,,,,,,,,,À vérifier,OpenStreetMap node/5973449436 (2026-05-27),
P105,C,27,Petit Dubaï Pièces auto,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.42333,-3.99166,,,,,,,,,À vérifier,OpenStreetMap node/8841921754 (2026-05-27),
P097,C,27,Pièces Détachées Bosh,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.41567,-4.00214,,,,,,,,,À vérifier,OpenStreetMap node/8596300926 (2026-05-27),
P098,C,27,Vente de Pièces Auto Chez Sam,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.41568,-4.00465,,,,,,,,,À vérifier,OpenStreetMap node/8596317324 (2026-05-27),
P096,C,27,Vente de Pièces Détachées Ets Agmana,Magasin de pièces (relevé terrain OSM),,,Abobo,Abobo,,5.41566,-4.00521,,,,,,,,,À vérifier,OpenStreetMap node/8596287045 (2026-05-27),
P060,C,26,Aya Auto,Magasin de pièces (relevé terrain OSM),,,,,,5.30935,-4.00657,,,,,,,,,À vérifier,OpenStreetMap node/4029138539 (2026-05-27),
P061,C,26,Bibars Auto,Magasin de pièces (relevé terrain OSM),,,,,,5.30907,-4.00659,,,,,,,,,À vérifier,OpenStreetMap node/4029138540 (2026-05-27),
P062,C,26,Fawaz Auto,Magasin de pièces (relevé terrain OSM),,,,,,5.30877,-4.00829,,,,,,,,,À vérifier,OpenStreetMap node/4029138541 (2026-05-27),
P054,C,26,Gloir a Dieu,Magasin de pièces (relevé terrain OSM),,,,,,5.30279,-3.97379,,,,,,,,,À vérifier,OpenStreetMap node/3995475501 (2026-05-27),
P063,C,26,Le Roi des Accessoires chez Issa,Magasin de pièces (relevé terrain OSM),,,,,,5.30911,-4.00644,,,,,,,,,À vérifier,OpenStreetMap node/4029138545 (2026-05-27),Accessoires / tuning / multimédia
P084,C,26,Oki Pièces Auto,Magasin de pièces (relevé terrain OSM),,,,,,5.30208,-3.96753,,,,,,,,,À vérifier,OpenStreetMap node/5963691621 (2026-05-27),
P180,C,25,Auto Mecanic CI,Acteur identifié (recensement interne),Mécanique + vente de pièces,,Yopougon,,Yopougon carrefour Siporex,,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P181,C,25,Stephen Pièces Auto,Acteur identifié (recensement interne),Magasin de pièces,,Yopougon,,"Yopougon, face Uniwax",,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P187,C,22,Casse Voiture Map,Acteur identifié (recensement interne),Casse — pièces d'occasion,,,,Abidjan,,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P186,C,22,EasyPieces,Acteur identifié (recensement interne),Vente de pièces sur devis,,,,Abidjan,,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P183,C,22,Établissement A.R,Acteur identifié (recensement interne),Magasin de pièces,,,,Abidjan (réf. Assonvon Motors),,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
P185,C,22,Lakasse,Acteur identifié (recensement interne),Pièces d'occasion en ligne,,,,Abidjan (plateforme + show-room),,,,,,,,Petit,,,À vérifier,ingest-sources-recensement.md §4.2 (2026-05),
